Pressure,Flow Rate,Temperature,Consumption Level,Material Type,Age,Maintenance History,Leak
62.68,13.97,20.55,478.54,HDPE,15,Average,0
42.39,35.06,29.91,586.72,Cast Iron,12,Poor,1
50.4,80.2,30.09,683.01,PVC,32,Average,1
56.52,42.98,19.77,231.27,Steel,3,Good,0
40.65,48.33,5.74,490.48,Copper,11,Average,0
31.83,45.49,17.1,189.45,PVC,27,Good,0
30.58,21.11,23.77,169.68,Copper,24,Average,0
73.82,29.98,32.25,225.58,HDPE,18,Good,0
77.08,5.18,6.61,387.58,Cast Iron,29,Average,0
30.97,25.03,14.9,335.88,Steel,19,Good,0
65.24,21.92,17.04,203.31,PVC,2,Good,0
62.81,45.69,28.26,132.82,HDPE,22,Average,0
52.76,23.46,20.75,159.6,HDPE,22,Average,0
72.56,7.85,31.74,242.65,HDPE,12,Good,0
42.73,22.46,21.83,469.9,PVC,37,Average,1
37.15,36.26,6.42,408.12,Steel,31,Poor,1
78.96,28.2,19.33,226.28,Copper,15,Average,0
36.79,43.44,33.57,732.4,Steel,30,Poor,1
77.21,28.42,29.74,254.54,Steel,9,Average,0
30.59,40.39,11.38,160.6,Cast Iron,8,Average,0
61.51,16.27,13.47,133.08,Cast Iron,1,Good,0
15.99,43.39,19.4,977.47,Cast Iron,46,Poor,1
67.81,44.66,22.63,499.63,Copper,23,Average,0
52.46,17.49,22.48,199.91,HDPE,23,Good,0
59.81,61.41,14.13,363.83,HDPE,29,Poor,1
51.4,10.68,20.56,105.54,HDPE,5,Good,0
53.94,60.53,15.71,919.68,HDPE,46,Poor,1
39.0,22.95,31.39,121.41,PVC,24,Average,0
24.46,95.27,34.49,589.2,Cast Iron,12,Poor,1
76.46,11.4,7.76,79.79,Steel,1,Good,0
54.88,46.11,34.78,166.56,HDPE,4,Good,0
40.63,17.73,10.42,371.86,HDPE,8,Average,0
42.19,73.59,26.39,976.46,HDPE,14,Average,1
29.44,28.01,15.73,324.06,HDPE,21,Average,1
64.56,39.37,6.09,403.14,Cast Iron,22,Good,0
23.06,82.0,7.45,429.74,PVC,30,Average,1
40.72,49.89,19.34,985.32,Steel,29,Poor,1
41.13,44.13,9.98,528.9,HDPE,17,Average,1
37.96,91.01,15.7,526.09,Cast Iron,36,Average,1
49.06,22.41,25.35,308.31,HDPE,8,Good,0
43.1,92.85,19.18,500.77,Steel,28,Poor,1
47.74,64.64,6.34,481.35,HDPE,23,Average,1
78.06,48.48,8.23,491.23,Copper,29,Good,0
48.76,46.72,24.26,404.19,HDPE,9,Average,0
